,game_nr,num_iter,mcts_color,winner
0,0,20,white (X),white (X)
1,1,20,black (O),
2,2,20,white (X),white (X)
3,3,20,black (O),white (X)
4,4,20,white (X),
5,5,20,black (O),black (O)
6,6,20,white (X),white (X)
7,7,20,black (O),black (O)
8,8,20,white (X),
9,9,20,black (O),black (O)
10,10,20,white (X),white (X)
11,11,20,black (O),
12,12,20,white (X),black (O)
13,13,20,black (O),
14,14,20,white (X),black (O)
15,15,20,black (O),black (O)
16,16,20,white (X),
17,17,20,black (O),white (X)
18,18,20,white (X),white (X)
19,19,20,black (O),black (O)
20,20,20,white (X),black (O)
21,21,20,black (O),
22,22,20,white (X),
23,23,20,black (O),black (O)
24,24,20,white (X),white (X)
25,25,20,black (O),white (X)
26,26,20,white (X),white (X)
27,27,20,black (O),black (O)
28,28,20,white (X),white (X)
29,29,20,black (O),black (O)
30,30,20,white (X),white (X)
31,31,20,black (O),
32,32,20,white (X),
33,33,20,black (O),black (O)
34,34,20,white (X),
35,35,20,black (O),black (O)
36,36,20,white (X),black (O)
37,37,20,black (O),
38,38,20,white (X),white (X)
39,39,20,black (O),
40,40,20,white (X),white (X)
41,41,20,black (O),
42,42,20,white (X),black (O)
43,43,20,black (O),
44,44,20,white (X),
45,45,20,black (O),black (O)
46,46,20,white (X),
47,47,20,black (O),black (O)
48,48,20,white (X),white (X)
49,49,20,black (O),black (O)
50,50,20,white (X),white (X)
51,51,20,black (O),black (O)
52,52,20,white (X),
53,53,20,black (O),black (O)
54,54,20,white (X),black (O)
55,55,20,black (O),black (O)
56,56,20,white (X),white (X)
57,57,20,black (O),
58,58,20,white (X),white (X)
59,59,20,black (O),
60,60,20,white (X),white (X)
61,61,20,black (O),black (O)
62,62,20,white (X),white (X)
63,63,20,black (O),
64,64,20,white (X),black (O)
65,65,20,black (O),black (O)
66,66,20,white (X),white (X)
67,67,20,black (O),black (O)
68,68,20,white (X),
69,69,20,black (O),
70,70,20,white (X),black (O)
71,71,20,black (O),black (O)
72,72,20,white (X),white (X)
73,73,20,black (O),black (O)
74,74,20,white (X),black (O)
75,75,20,black (O),black (O)
76,76,20,white (X),white (X)
77,77,20,black (O),white (X)
78,78,20,white (X),black (O)
79,79,20,black (O),black (O)
80,80,20,white (X),black (O)
81,81,20,black (O),black (O)
82,82,20,white (X),white (X)
83,83,20,black (O),black (O)
84,84,20,white (X),white (X)
85,85,20,black (O),black (O)
86,86,20,white (X),white (X)
87,87,20,black (O),black (O)
88,88,20,white (X),white (X)
89,89,20,black (O),black (O)
90,90,20,white (X),white (X)
91,91,20,black (O),black (O)
92,92,20,white (X),white (X)
93,93,20,black (O),black (O)
94,94,20,white (X),black (O)
95,95,20,black (O),
96,96,20,white (X),white (X)
97,97,20,black (O),white (X)
98,98,20,white (X),black (O)
99,99,20,black (O),
