,game_nr,num_iter,mcts_color,winner
0,0,100,white (X),
1,1,100,black (O),
2,2,100,white (X),white (X)
3,3,100,black (O),black (O)
4,4,100,white (X),white (X)
5,5,100,black (O),black (O)
6,6,100,white (X),
7,7,100,black (O),black (O)
8,8,100,white (X),white (X)
9,9,100,black (O),black (O)
10,10,100,white (X),
11,11,100,black (O),black (O)
12,12,100,white (X),white (X)
13,13,100,black (O),black (O)
14,14,100,white (X),white (X)
15,15,100,black (O),black (O)
16,16,100,white (X),
17,17,100,black (O),black (O)
18,18,100,white (X),white (X)
19,19,100,black (O),black (O)
20,20,100,white (X),white (X)
21,21,100,black (O),
22,22,100,white (X),white (X)
23,23,100,black (O),black (O)
24,24,100,white (X),white (X)
25,25,100,black (O),
26,26,100,white (X),white (X)
27,27,100,black (O),black (O)
28,28,100,white (X),white (X)
29,29,100,black (O),black (O)
30,30,100,white (X),white (X)
31,31,100,black (O),black (O)
32,32,100,white (X),white (X)
33,33,100,black (O),black (O)
34,34,100,white (X),white (X)
35,35,100,black (O),black (O)
36,36,100,white (X),white (X)
37,37,100,black (O),black (O)
38,38,100,white (X),white (X)
39,39,100,black (O),black (O)
40,40,100,white (X),white (X)
41,41,100,black (O),black (O)
42,42,100,white (X),white (X)
43,43,100,black (O),white (X)
44,44,100,white (X),white (X)
45,45,100,black (O),black (O)
46,46,100,white (X),white (X)
47,47,100,black (O),
48,48,100,white (X),white (X)
49,49,100,black (O),black (O)
50,50,100,white (X),white (X)
51,51,100,black (O),white (X)
52,52,100,white (X),white (X)
53,53,100,black (O),
54,54,100,white (X),white (X)
55,55,100,black (O),black (O)
56,56,100,white (X),white (X)
57,57,100,black (O),
58,58,100,white (X),black (O)
59,59,100,black (O),
60,60,100,white (X),white (X)
61,61,100,black (O),
62,62,100,white (X),white (X)
63,63,100,black (O),black (O)
64,64,100,white (X),
65,65,100,black (O),
66,66,100,white (X),white (X)
67,67,100,black (O),black (O)
68,68,100,white (X),black (O)
69,69,100,black (O),
70,70,100,white (X),
71,71,100,black (O),black (O)
72,72,100,white (X),white (X)
73,73,100,black (O),
74,74,100,white (X),white (X)
75,75,100,black (O),
76,76,100,white (X),white (X)
77,77,100,black (O),black (O)
78,78,100,white (X),black (O)
79,79,100,black (O),black (O)
80,80,100,white (X),
81,81,100,black (O),
82,82,100,white (X),white (X)
83,83,100,black (O),black (O)
84,84,100,white (X),white (X)
85,85,100,black (O),black (O)
86,86,100,white (X),white (X)
87,87,100,black (O),
88,88,100,white (X),
89,89,100,black (O),black (O)
90,90,100,white (X),white (X)
91,91,100,black (O),
92,92,100,white (X),white (X)
93,93,100,black (O),black (O)
94,94,100,white (X),white (X)
95,95,100,black (O),white (X)
96,96,100,white (X),
97,97,100,black (O),black (O)
98,98,100,white (X),white (X)
99,99,100,black (O),black (O)
