,game_nr,num_iter,mcts_color,winner
0,0,10,white (X),white (X)
1,1,10,black (O),black (O)
2,2,10,white (X),
3,3,10,black (O),black (O)
4,4,10,white (X),
5,5,10,black (O),white (X)
6,6,10,white (X),white (X)
7,7,10,black (O),white (X)
8,8,10,white (X),
9,9,10,black (O),white (X)
10,10,10,white (X),black (O)
11,11,10,black (O),white (X)
12,12,10,white (X),white (X)
13,13,10,black (O),black (O)
14,14,10,white (X),white (X)
15,15,10,black (O),black (O)
16,16,10,white (X),white (X)
17,17,10,black (O),white (X)
18,18,10,white (X),black (O)
19,19,10,black (O),
20,20,10,white (X),black (O)
21,21,10,black (O),black (O)
22,22,10,white (X),black (O)
23,23,10,black (O),black (O)
24,24,10,white (X),white (X)
25,25,10,black (O),
26,26,10,white (X),white (X)
27,27,10,black (O),white (X)
28,28,10,white (X),white (X)
29,29,10,black (O),black (O)
30,30,10,white (X),white (X)
31,31,10,black (O),black (O)
32,32,10,white (X),white (X)
33,33,10,black (O),
34,34,10,white (X),black (O)
35,35,10,black (O),
36,36,10,white (X),white (X)
37,37,10,black (O),
38,38,10,white (X),white (X)
39,39,10,black (O),black (O)
40,40,10,white (X),black (O)
41,41,10,black (O),black (O)
42,42,10,white (X),black (O)
43,43,10,black (O),
44,44,10,white (X),white (X)
45,45,10,black (O),
46,46,10,white (X),white (X)
47,47,10,black (O),white (X)
48,48,10,white (X),black (O)
49,49,10,black (O),white (X)
50,50,10,white (X),white (X)
51,51,10,black (O),black (O)
52,52,10,white (X),
53,53,10,black (O),
54,54,10,white (X),
55,55,10,black (O),white (X)
56,56,10,white (X),black (O)
57,57,10,black (O),black (O)
58,58,10,white (X),
59,59,10,black (O),black (O)
60,60,10,white (X),white (X)
61,61,10,black (O),white (X)
62,62,10,white (X),white (X)
63,63,10,black (O),
64,64,10,white (X),black (O)
65,65,10,black (O),
66,66,10,white (X),
67,67,10,black (O),black (O)
68,68,10,white (X),
69,69,10,black (O),black (O)
70,70,10,white (X),white (X)
71,71,10,black (O),black (O)
72,72,10,white (X),white (X)
73,73,10,black (O),black (O)
74,74,10,white (X),white (X)
75,75,10,black (O),black (O)
76,76,10,white (X),black (O)
77,77,10,black (O),
78,78,10,white (X),white (X)
79,79,10,black (O),
80,80,10,white (X),white (X)
81,81,10,black (O),
82,82,10,white (X),white (X)
83,83,10,black (O),black (O)
84,84,10,white (X),black (O)
85,85,10,black (O),white (X)
86,86,10,white (X),white (X)
87,87,10,black (O),black (O)
88,88,10,white (X),white (X)
89,89,10,black (O),white (X)
90,90,10,white (X),black (O)
91,91,10,black (O),
92,92,10,white (X),black (O)
93,93,10,black (O),
94,94,10,white (X),white (X)
95,95,10,black (O),black (O)
96,96,10,white (X),
97,97,10,black (O),black (O)
98,98,10,white (X),
99,99,10,black (O),black (O)
