,white_locals,black_locals,winner
408,3,3,white
409,5,3,black
410,3,3,white
411,4,2,black
412,4,3,black
413,1,3,white
414,4,2,
415,5,3,black
416,3,4,white
417,4,4,black
418,5,4,black
419,3,5,white
420,4,2,black
421,4,3,
422,5,3,
423,4,4,
424,4,3,black
425,3,4,white
426,4,5,black
427,4,1,black
428,4,4,
429,4,4,white
430,4,4,white
431,3,3,black
432,3,4,
433,5,3,
434,4,4,white
435,5,3,
436,4,4,
437,1,4,white
438,5,3,black
439,3,5,white
440,5,4,
441,4,3,black
442,5,3,black
443,3,5,white
444,4,5,white
445,4,3,
446,2,5,white
447,3,3,black
448,0,4,white
449,4,5,black
450,5,4,black
451,5,3,
452,4,2,black
453,3,2,black
454,4,2,black
455,2,3,white
456,5,3,black
457,4,2,black
458,4,2,black
459,5,4,
460,6,2,black
461,4,3,black
462,1,4,white
463,4,3,
464,3,2,black
465,3,5,white
466,4,3,black
467,3,4,white
468,3,4,white
469,5,4,black
470,3,3,black
471,3,0,black
472,5,4,
473,4,2,black
474,3,5,white
475,4,4,
476,1,5,white
477,3,2,black
478,4,4,white
479,2,6,white
480,4,5,white
481,3,4,white
482,4,3,
483,5,4,black
484,4,3,black
485,2,4,white
486,4,3,black
487,5,1,black
488,2,4,white
489,3,5,white
490,3,4,white
491,3,3,white
492,5,4,black
493,3,2,
494,3,5,white
495,3,2,black
496,3,4,white
497,4,3,
498,1,5,white
499,4,4,black
500,4,3,black
501,4,3,black
502,3,4,
503,3,4,white
504,3,4,
505,5,3,
506,6,3,black
507,4,4,
508,3,5,white
509,3,4,
510,3,0,black
511,3,1,black
512,3,4,
513,4,4,black
514,4,4,
515,3,5,
516,5,1,black
517,4,5,white
518,3,4,white
519,0,3,white
520,3,4,white
521,2,4,white
522,4,3,black
523,3,4,white
524,4,3,black
525,4,3,black
526,2,3,white
527,5,4,black
528,3,4,white
529,4,1,black
530,4,2,black
531,3,4,white
532,4,3,black
533,0,5,white
534,2,5,white
535,3,3,white
536,3,4,white
537,5,3,black
538,3,1,black
539,4,2,black
540,4,1,black
541,4,4,white
542,3,5,white
543,3,4,white
544,3,3,black
545,3,3,white
546,3,4,
547,3,2,black
548,5,2,black
549,3,5,white
550,2,3,white
551,3,3,white
552,3,2,black
553,5,3,black
554,3,2,black
555,4,1,black
556,5,3,black
557,3,5,
558,5,4,white
559,4,5,white
560,4,3,white
561,3,2,black
562,3,4,white
563,3,2,
564,4,3,black
565,4,3,black
566,5,4,white
567,4,4,black
568,4,4,black
569,3,4,
570,6,3,black
571,4,1,black
572,2,4,white
573,4,4,black
574,5,4,
575,3,5,white
576,4,4,white
577,5,4,black
578,5,1,black
579,1,3,white
580,3,5,white
581,5,3,black
582,3,4,white
583,5,2,black
584,5,2,black
585,5,3,black
586,5,3,black
587,3,5,white
588,3,5,white
589,3,4,white
590,2,4,white
591,3,4,white
592,5,4,black
593,3,1,black
594,5,3,
595,5,3,black
596,3,2,black
597,4,4,
598,3,3,black
599,4,5,white
600,4,4,black
601,4,3,black
602,3,5,white
603,5,4,black
604,5,3,black
605,4,4,black
606,4,2,
607,4,2,black
608,5,3,
609,3,4,white
610,3,3,white
611,3,3,black
612,4,4,black
613,2,4,white
614,4,3,black
615,4,3,black
616,4,4,black
617,5,4,black
618,2,3,white
619,3,5,
620,4,4,white
621,1,3,white
622,4,3,black
623,4,3,black
624,4,4,
625,4,2,black
626,4,3,black
627,1,4,white
628,3,5,
629,3,4,white
630,3,4,white
631,3,3,white
632,5,2,black
633,3,4,white
634,2,4,white
635,3,2,black
636,2,5,white
637,2,4,white
638,4,4,black
639,2,4,white
640,2,4,white
641,5,3,black
642,4,2,
643,6,2,black
644,4,4,
645,5,2,black
646,5,3,
647,4,2,black
648,4,4,white
649,3,5,white
650,3,5,white
651,4,3,
652,3,2,black
653,5,3,
654,5,3,black
655,3,5,
656,2,4,white
657,4,3,black
658,4,3,white
659,4,4,
660,3,5,
661,5,4,
662,4,3,
663,3,3,white
664,2,6,white
665,5,3,
666,1,3,white
667,5,4,
668,3,5,
669,4,3,black
670,3,5,white
671,2,5,white
672,3,3,black
673,4,3,black
674,5,3,black
675,3,3,black
676,3,3,black
677,4,5,white
678,2,3,white
679,4,5,white
680,4,4,white
681,4,3,black
682,5,4,
683,3,4,white
684,3,2,black
685,4,1,black
686,3,4,white
687,2,5,white
688,3,4,
689,3,2,black
690,5,1,black
691,4,3,black
692,3,3,white
693,2,4,white
694,4,3,black
695,4,4,
696,3,4,white
697,4,3,white
698,4,3,white
699,5,2,black
700,4,4,white
701,4,2,black
702,3,1,black
703,3,4,white
704,3,2,black
705,4,0,black
706,4,2,black
707,4,5,
708,5,4,
709,5,3,
710,2,5,white
711,5,4,black
712,3,2,black
713,4,5,
714,3,2,black
715,3,4,white
716,2,5,white
717,4,2,black
718,5,3,black
719,5,2,black
720,4,1,black
721,4,5,black
722,4,2,black
723,4,1,black
724,3,6,white
725,3,5,white
726,4,4,white
727,4,4,
728,1,4,white
729,2,4,white
730,4,5,white
731,3,3,black
732,4,4,
733,4,5,
734,6,3,black
735,4,3,
736,5,3,black
737,4,4,black
738,4,4,black
739,2,5,white
740,3,2,black
741,4,3,
742,4,3,black
743,1,5,white
744,4,4,
745,5,4,black
746,4,4,white
747,2,4,white
748,5,3,
749,3,4,white
750,4,4,
751,5,3,black
752,4,4,
753,5,3,black
754,3,5,
755,2,4,white
756,2,3,white
757,4,4,
758,5,4,black
759,3,3,black
760,4,3,black
761,4,4,white
762,6,3,black
763,5,3,
764,3,2,black
765,4,2,black
766,2,4,white
767,4,4,white
768,5,2,black
769,4,3,black
770,4,2,black
771,4,4,
772,2,3,white
773,4,4,black
774,3,5,white
775,6,3,black
776,2,5,white
777,2,6,white
778,2,3,white
779,5,4,black
780,4,4,
781,4,4,white
782,5,2,black
783,4,3,black
784,4,3,
785,2,4,white
786,2,4,white
787,3,5,white
788,4,1,black
789,4,4,
790,5,3,black
791,2,4,white
792,4,4,white
793,2,6,white
794,5,2,black
795,3,2,black
796,4,5,
797,3,3,
798,5,3,black
799,3,5,white
800,5,3,
801,4,3,
802,3,5,
803,5,4,white
804,5,3,black
805,4,2,black
806,4,4,
807,5,3,black
808,5,3,
809,4,4,black
810,4,3,black
811,4,5,white
812,4,4,
813,3,3,
814,4,2,black
815,5,4,
816,3,3,
817,3,3,white
818,4,5,black
819,3,4,
820,4,5,white
821,3,5,
822,5,4,
823,4,2,black
824,3,2,black
825,0,4,white
826,4,4,black
827,4,4,
828,4,4,
829,2,4,white
830,5,1,black
831,1,4,white
832,4,4,white
833,4,4,
834,4,5,black
835,3,5,white
836,4,4,
837,2,4,white
838,3,5,white
839,4,4,
840,4,4,
841,3,5,
842,5,2,black
843,4,4,
844,4,1,black
845,3,4,white
846,4,4,black
847,5,2,black
848,4,4,
849,3,2,black
850,3,4,
851,3,5,white
852,5,3,black
853,3,2,black
854,1,3,white
855,5,2,black
856,4,3,black
857,4,4,
858,4,4,
859,3,5,white
860,3,4,
861,6,3,black
862,3,4,
863,3,3,black
864,4,1,black
865,3,4,white
866,5,2,black
867,5,4,white
868,4,4,
869,4,3,
870,5,3,black
871,3,4,white
872,4,2,black
873,3,4,white
874,3,4,white
875,4,1,black
876,1,4,white
877,2,5,white
878,3,5,white
879,4,5,
880,5,3,black
881,4,3,black
882,4,3,
883,4,2,black
884,4,0,black
885,4,4,black
886,4,4,
887,5,4,
888,2,4,white
889,4,4,
890,3,1,black
891,3,2,black
892,5,3,black
893,4,4,white
894,3,3,white
895,4,4,
896,4,4,
897,5,2,black
898,4,2,black
899,4,2,black
900,3,3,
901,4,2,black
902,6,1,black
903,4,5,white
904,4,4,black
905,5,3,black
906,3,2,black
907,2,4,white
908,5,1,black
909,3,1,black
910,5,3,black
911,4,2,black
912,4,5,white
913,3,3,black
914,4,1,black
915,2,5,white
916,4,4,
917,3,3,
918,5,2,black
919,2,3,white
920,3,4,black
921,2,5,white
922,3,4,
923,4,5,black
924,6,3,black
925,4,3,black
926,3,3,black
927,5,4,white
928,1,4,white
929,5,3,
930,6,3,black
931,4,4,black
932,3,4,white
933,4,1,black
934,3,5,
935,3,5,
936,5,2,black
937,5,3,black
938,3,4,
939,3,6,white
940,4,3,
941,3,1,black
942,4,4,white
943,4,5,black
944,4,2,black
945,4,4,
946,3,6,white
947,4,4,
948,3,5,white
949,4,3,
950,4,4,
951,3,4,
952,3,5,white
953,3,3,white
954,4,4,black
955,1,3,white
956,4,4,black
957,3,2,black
958,4,5,
959,4,4,white
960,5,3,black
961,5,4,
962,2,3,white
963,3,5,white
964,3,4,black
965,5,4,
966,4,3,black
967,4,4,white
968,4,2,black
969,4,3,black
970,3,5,white
971,3,5,white
972,4,1,black
973,2,5,white
974,4,3,white
975,5,3,
976,4,3,
977,4,3,
978,3,5,white
979,5,3,
980,5,3,
981,4,4,
982,3,5,white
983,4,4,
984,4,4,white
985,5,4,white
986,4,3,white
987,5,4,
988,4,4,white
989,5,3,black
990,4,3,
991,5,3,black
992,4,4,white
993,5,3,black
994,6,2,black
995,4,1,black
996,4,4,
997,4,5,
998,4,3,
999,4,3,
1000,5,4,black
1001,2,4,white
1002,5,2,black
1003,2,4,white
1004,4,2,black
1005,4,5,black
1006,0,3,white
1007,4,3,black
1008,4,3,
1009,4,5,white
1010,3,2,black
1011,4,4,
1012,5,2,
1013,2,6,white
1014,4,4,white
1015,3,4,
1016,3,4,
1017,5,3,black
1018,4,1,black
1019,4,4,black
1020,6,2,black
1021,3,4,black
1022,3,5,white
1023,4,3,black
1024,4,5,white
1025,5,4,
1026,3,2,black
1027,5,4,black
1028,3,5,
1029,5,2,black
1030,5,4,white
1031,4,4,
1032,3,3,white
1033,3,5,white
1034,3,4,white
1035,5,3,black
1036,1,5,white
1037,3,1,black
1038,3,5,white
1039,4,4,
1040,3,5,white
1041,4,3,black
1042,4,3,white
1043,3,3,white
1044,1,3,white
1045,2,4,white
1046,4,2,black
1047,2,4,
1048,1,3,white
1049,3,4,black
1050,3,1,black
1051,4,4,
1052,3,3,
1053,4,4,
1054,5,2,black
1055,5,3,black
1056,3,4,white
1057,3,3,white
1058,4,3,black
1059,5,3,
1060,3,4,black
1061,5,4,
1062,4,4,white
1063,4,3,black
1064,4,3,black
1065,5,1,black
1066,3,1,black
1067,3,3,white
1068,5,2,black
1069,4,4,black
1070,2,5,white
1071,0,4,white
1072,2,3,white
1073,5,3,black
1074,1,3,white
1075,2,4,white
1076,3,5,white
1077,4,4,black
1078,3,5,white
1079,5,4,
1080,3,3,white
1081,4,5,white
1082,4,2,black
1083,5,2,black
1084,4,3,
1085,3,5,white
1086,2,2,
1087,4,5,white
1088,5,3,black
1089,4,3,black
1090,3,5,
1091,3,6,white
1092,3,4,white
1093,5,4,
1094,4,3,black
1095,4,3,black
1096,4,5,
1097,4,2,black
1098,4,4,black
1099,3,1,black
1100,5,3,
1101,4,4,black
1102,1,4,white
1103,4,4,
1104,4,5,white
1105,4,4,black
1106,3,4,white
1107,4,3,white
1108,2,4,white
1109,5,4,
1110,3,6,white
1111,3,3,white
1112,2,4,white
1113,5,4,
1114,2,4,white
1115,2,5,white
1116,4,2,black
1117,4,4,
1118,5,3,black
1119,5,4,black
1120,4,2,black
1121,3,5,white
1122,2,5,white
1123,4,1,black
1124,3,4,black
1125,4,4,black
1126,4,4,white
1127,2,4,white
1128,3,5,white
1129,3,6,white
1130,5,4,black
1131,4,4,
1132,3,4,white
1133,3,3,black
1134,4,4,white
1135,4,5,white
1136,3,4,
1137,3,4,
1138,1,3,white
1139,4,3,
1140,4,3,black
1141,3,4,white
1142,5,3,black
1143,3,4,white
1144,4,4,black
1145,5,4,black
1146,5,2,black
1147,4,3,black
1148,3,6,white
1149,4,5,
1150,3,3,white
1151,2,4,white
1152,4,2,black
1153,3,3,white
1154,3,0,black
1155,3,5,
1156,3,2,black
1157,4,2,black
1158,2,4,white
1159,4,4,white
1160,2,3,white
1161,2,4,white
1162,4,4,
1163,3,5,
1164,4,3,white
1165,3,5,white
1166,5,4,
1167,4,3,black
1168,1,3,white
1169,3,5,white
1170,5,2,black
1171,4,3,black
1172,4,3,black
