,game_nr,ppo_color,winner
298,298,white (X),white (X)
299,299,black (O),
300,300,white (X),
301,301,black (O),
302,302,white (X),
303,303,black (O),
304,304,white (X),
305,305,black (O),black (O)
306,306,white (X),white (X)
307,307,black (O),
308,308,white (X),
309,309,black (O),
310,310,white (X),white (X)
311,311,black (O),black (O)
312,312,white (X),black (O)
313,313,black (O),
314,314,white (X),white (X)
315,315,black (O),
316,316,white (X),
317,317,black (O),
318,318,white (X),white (X)
319,319,black (O),
320,320,white (X),white (X)
321,321,black (O),white (X)
322,322,white (X),white (X)
323,323,black (O),
324,324,white (X),
325,325,black (O),
326,326,white (X),white (X)
327,327,black (O),
328,328,white (X),white (X)
329,329,black (O),
330,330,white (X),white (X)
331,331,black (O),
332,332,white (X),
333,333,black (O),
334,334,white (X),white (X)
335,335,black (O),
336,336,white (X),
337,337,black (O),
338,338,white (X),white (X)
339,339,black (O),white (X)
340,340,white (X),white (X)
341,341,black (O),black (O)
342,342,white (X),white (X)
343,343,black (O),
344,344,white (X),
345,345,black (O),
346,346,white (X),
347,347,black (O),
348,348,white (X),
349,349,black (O),
350,350,white (X),
351,351,black (O),
352,352,white (X),white (X)
353,353,black (O),
354,354,white (X),white (X)
355,355,black (O),
356,356,white (X),black (O)
357,357,black (O),white (X)
358,358,white (X),white (X)
359,359,black (O),
360,360,white (X),white (X)
361,361,black (O),
362,362,white (X),
363,363,black (O),
364,364,white (X),white (X)
365,365,black (O),
366,366,white (X),white (X)
367,367,black (O),
368,368,white (X),white (X)
369,369,black (O),
370,370,white (X),
371,371,black (O),
372,372,white (X),white (X)
373,373,black (O),
374,374,white (X),
375,375,black (O),black (O)
376,376,white (X),
377,377,black (O),white (X)
378,378,white (X),white (X)
379,379,black (O),
380,380,white (X),white (X)
381,381,black (O),
382,382,white (X),white (X)
383,383,black (O),
384,384,white (X),
385,385,black (O),
386,386,white (X),black (O)
387,387,black (O),black (O)
388,388,white (X),white (X)
389,389,black (O),
390,390,white (X),white (X)
