,game_nr,num_iter,mcts_color,winner
0,0,2000,white (X),white (X)
1,1,2000,black (O),black (O)
2,2,2000,white (X),white (X)
3,3,2000,black (O),black (O)
4,4,2000,white (X),white (X)
5,5,2000,black (O),black (O)
6,6,2000,white (X),white (X)
7,7,2000,black (O),black (O)
8,8,2000,white (X),white (X)
9,9,2000,black (O),black (O)
10,10,2000,white (X),white (X)
11,11,2000,black (O),black (O)
12,12,2000,white (X),white (X)
13,13,2000,black (O),black (O)
14,14,2000,white (X),black (O)
15,15,2000,black (O),
16,16,2000,white (X),white (X)
17,17,2000,black (O),
18,18,2000,white (X),white (X)
19,19,2000,black (O),black (O)
20,20,2000,white (X),white (X)
21,21,2000,black (O),black (O)
22,22,2000,white (X),white (X)
23,23,2000,black (O),black (O)
24,24,2000,white (X),white (X)
25,25,2000,black (O),black (O)
26,26,2000,white (X),white (X)
27,27,2000,black (O),black (O)
28,28,2000,white (X),
29,29,2000,black (O),
30,30,2000,white (X),white (X)
31,31,2000,black (O),black (O)
32,32,2000,white (X),white (X)
33,33,2000,black (O),
34,34,2000,white (X),white (X)
35,35,2000,black (O),black (O)
36,36,2000,white (X),white (X)
37,37,2000,black (O),black (O)
38,38,2000,white (X),white (X)
39,39,2000,black (O),black (O)
40,40,2000,white (X),white (X)
41,41,2000,black (O),
42,42,2000,white (X),white (X)
43,43,2000,black (O),black (O)
44,44,2000,white (X),
45,45,2000,black (O),black (O)
46,46,2000,white (X),white (X)
47,47,2000,black (O),black (O)
48,48,2000,white (X),
49,49,2000,black (O),
50,50,2000,white (X),white (X)
51,51,2000,black (O),black (O)
52,52,2000,white (X),white (X)
53,53,2000,black (O),black (O)
54,54,2000,white (X),white (X)
55,55,2000,black (O),black (O)
56,56,2000,white (X),white (X)
57,57,2000,black (O),
58,58,2000,white (X),white (X)
59,59,2000,black (O),black (O)
60,60,2000,white (X),white (X)
61,61,2000,black (O),black (O)
62,62,2000,white (X),
63,63,2000,black (O),black (O)
64,64,2000,white (X),white (X)
65,65,2000,black (O),black (O)
66,66,2000,white (X),white (X)
67,67,2000,black (O),black (O)
68,68,2000,white (X),
69,69,2000,black (O),black (O)
70,70,2000,white (X),white (X)
71,71,2000,black (O),black (O)
72,72,2000,white (X),white (X)
73,73,2000,black (O),black (O)
74,74,2000,white (X),white (X)
75,75,2000,black (O),black (O)
76,76,2000,white (X),white (X)
77,77,2000,black (O),black (O)
78,78,2000,white (X),white (X)
79,79,2000,black (O),black (O)
80,80,2000,white (X),white (X)
81,81,2000,black (O),black (O)
82,82,2000,white (X),white (X)
83,83,2000,black (O),black (O)
84,84,2000,white (X),white (X)
85,85,2000,black (O),white (X)
86,86,2000,white (X),white (X)
87,87,2000,black (O),black (O)
88,88,2000,white (X),white (X)
89,89,2000,black (O),black (O)
90,90,2000,white (X),white (X)
91,91,2000,black (O),black (O)
92,92,2000,white (X),white (X)
93,93,2000,black (O),black (O)
94,94,2000,white (X),white (X)
95,95,2000,black (O),
96,96,2000,white (X),white (X)
97,97,2000,black (O),black (O)
98,98,2000,white (X),white (X)
99,99,2000,black (O),black (O)
