,game_nr,num_iter,mcts_color,winner
0,0,50,white (X),white (X)
1,1,50,black (O),
2,2,50,white (X),white (X)
3,3,50,black (O),black (O)
4,4,50,white (X),
5,5,50,black (O),
6,6,50,white (X),white (X)
7,7,50,black (O),black (O)
8,8,50,white (X),white (X)
9,9,50,black (O),
10,10,50,white (X),white (X)
11,11,50,black (O),black (O)
12,12,50,white (X),
13,13,50,black (O),
14,14,50,white (X),white (X)
15,15,50,black (O),black (O)
16,16,50,white (X),black (O)
17,17,50,black (O),
18,18,50,white (X),
19,19,50,black (O),black (O)
20,20,50,white (X),white (X)
21,21,50,black (O),black (O)
22,22,50,white (X),white (X)
23,23,50,black (O),white (X)
24,24,50,white (X),white (X)
25,25,50,black (O),
26,26,50,white (X),white (X)
27,27,50,black (O),black (O)
28,28,50,white (X),black (O)
29,29,50,black (O),white (X)
30,30,50,white (X),black (O)
31,31,50,black (O),black (O)
32,32,50,white (X),
33,33,50,black (O),black (O)
34,34,50,white (X),white (X)
35,35,50,black (O),black (O)
36,36,50,white (X),black (O)
37,37,50,black (O),white (X)
38,38,50,white (X),white (X)
39,39,50,black (O),black (O)
40,40,50,white (X),white (X)
41,41,50,black (O),black (O)
42,42,50,white (X),
43,43,50,black (O),
44,44,50,white (X),
45,45,50,black (O),
46,46,50,white (X),white (X)
47,47,50,black (O),black (O)
48,48,50,white (X),white (X)
49,49,50,black (O),
50,50,50,white (X),white (X)
51,51,50,black (O),
52,52,50,white (X),
53,53,50,black (O),
54,54,50,white (X),
55,55,50,black (O),white (X)
56,56,50,white (X),
57,57,50,black (O),black (O)
58,58,50,white (X),
59,59,50,black (O),black (O)
60,60,50,white (X),black (O)
61,61,50,black (O),black (O)
62,62,50,white (X),white (X)
63,63,50,black (O),white (X)
64,64,50,white (X),white (X)
65,65,50,black (O),
66,66,50,white (X),white (X)
67,67,50,black (O),white (X)
68,68,50,white (X),
69,69,50,black (O),black (O)
70,70,50,white (X),white (X)
71,71,50,black (O),
72,72,50,white (X),white (X)
73,73,50,black (O),
74,74,50,white (X),
75,75,50,black (O),black (O)
76,76,50,white (X),
77,77,50,black (O),black (O)
78,78,50,white (X),white (X)
79,79,50,black (O),black (O)
80,80,50,white (X),white (X)
81,81,50,black (O),black (O)
82,82,50,white (X),white (X)
83,83,50,black (O),white (X)
84,84,50,white (X),white (X)
85,85,50,black (O),black (O)
86,86,50,white (X),
87,87,50,black (O),black (O)
88,88,50,white (X),
89,89,50,black (O),black (O)
90,90,50,white (X),white (X)
91,91,50,black (O),
92,92,50,white (X),white (X)
93,93,50,black (O),white (X)
94,94,50,white (X),black (O)
95,95,50,black (O),white (X)
96,96,50,white (X),white (X)
97,97,50,black (O),
98,98,50,white (X),white (X)
99,99,50,black (O),black (O)
