,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
10,"(2, 3)","(3, 2)","(2, 4)","(4, 6)","(6, 8)","(8, 8)","(8, 5)","(5, 2)","(2, 1)","(1, 6)","(6, 6)","(6, 3)","(3, 1)","(1, 5)","(5, 0)","(0, 8)","(8, 7)","(7, 0)","(0, 6)","(6, 2)","(2, 6)","(6, 0)","(0, 3)","(3, 4)","(4, 8)","(8, 2)","(2, 5)","(5, 4)","(4, 4)","(4, 7)","(7, 4)","(4, 2)","(7, 6)","(6, 5)","(5, 6)","(6, 7)","(7, 2)","(3, 3)","(3, 6)","(6, 1)","(1, 0)","(0, 7)","(0, 5)","(5, 8)","(8, 3)","(3, 8)","(8, 4)","(4, 1)","(1, 8)","(0, 2)","(5, 5)","(5, 7)","(1, 1)","(1, 7)","(4, 3)","(3, 0)","(0, 4)","(4, 0)","(1, 2)",,,,,,,,,,,,,,,,,,,,,,
11,"(6, 8)","(8, 8)","(8, 0)","(0, 0)","(0, 2)","(2, 3)","(3, 1)","(1, 4)","(4, 2)","(2, 4)","(4, 1)","(1, 2)","(2, 0)","(0, 5)","(5, 1)","(1, 7)","(7, 3)","(3, 8)","(8, 2)","(2, 6)","(6, 6)","(6, 3)","(3, 5)","(5, 2)","(2, 2)","(2, 7)","(7, 6)","(6, 1)","(1, 5)","(5, 4)","(4, 3)","(3, 3)","(3, 7)","(7, 8)","(8, 7)","(7, 1)","(1, 6)","(6, 4)","(4, 8)","(8, 3)","(3, 4)","(4, 5)","(5, 0)","(0, 8)","(8, 4)","(4, 4)","(4, 7)","(7, 0)","(0, 4)","(4, 6)","(6, 0)","(0, 6)","(6, 2)","(2, 8)","(8, 5)","(5, 8)","(8, 1)","(1, 8)","(4, 0)","(0, 7)","(7, 7)","(7, 5)","(5, 5)","(5, 7)","(7, 4)","(5, 3)","(6, 5)","(5, 6)","(1, 0)","(1, 1)",,,,,,,,,,,
12,"(8, 6)","(6, 7)","(7, 6)","(6, 2)","(2, 0)","(0, 6)","(6, 1)","(1, 0)","(0, 4)","(4, 6)","(6, 3)","(3, 1)","(1, 3)","(3, 0)","(0, 1)","(1, 5)","(5, 8)","(8, 4)","(4, 2)","(2, 3)","(3, 4)","(4, 0)","(0, 7)","(7, 7)","(7, 2)","(2, 5)","(5, 1)","(1, 2)","(2, 6)","(6, 0)","(3, 5)","(5, 7)","(7, 1)","(1, 6)","(6, 5)","(5, 4)","(4, 1)","(1, 1)","(5, 3)","(3, 3)","(3, 2)","(2, 2)","(2, 8)","(8, 0)","(4, 7)","(7, 5)","(5, 6)","(6, 6)","(6, 8)","(8, 7)","(7, 3)","(3, 8)","(8, 2)","(2, 1)","(6, 4)","(4, 4)","(4, 3)","(3, 7)","(7, 8)","(8, 3)","(3, 6)",,,,,,,,,,,,,,,,,,,,
13,"(8, 2)","(2, 8)","(8, 5)","(5, 2)","(2, 5)","(5, 7)","(7, 8)","(8, 0)","(0, 0)","(0, 5)","(5, 3)","(3, 5)","(5, 4)","(4, 0)","(0, 6)","(6, 2)","(2, 4)","(4, 4)","(4, 7)","(7, 4)","(4, 6)","(6, 4)","(4, 8)","(8, 1)","(1, 1)","(1, 6)","(6, 6)","(6, 8)","(8, 6)","(6, 1)","(1, 2)","(2, 7)","(7, 3)","(3, 4)","(1, 8)","(8, 7)","(7, 2)","(2, 2)","(2, 1)","(1, 3)","(3, 7)","(7, 5)","(5, 5)","(0, 1)","(1, 5)","(6, 3)","(3, 6)","(6, 7)","(7, 7)","(7, 0)","(0, 2)","(2, 6)","(3, 0)","(0, 8)","(8, 4)","(3, 2)","(3, 1)","(3, 3)","(0, 7)","(7, 1)","(0, 4)",,,,,,,,,,,,,,,,,,,,
14,"(0, 0)","(0, 1)","(1, 0)","(0, 6)","(6, 1)","(1, 7)","(7, 4)","(4, 8)","(8, 8)","(8, 1)","(1, 3)","(3, 5)","(5, 8)","(8, 4)","(4, 6)","(6, 4)","(4, 0)","(0, 5)","(5, 0)","(0, 2)","(2, 3)","(3, 1)","(1, 5)","(5, 5)","(5, 2)","(2, 7)","(7, 3)","(3, 7)","(7, 7)","(7, 5)","(5, 3)","(3, 3)","(3, 2)","(2, 4)","(4, 3)","(3, 4)","(6, 7)","(7, 2)","(2, 5)","(5, 1)","(1, 2)","(2, 1)","(1, 6)","(6, 2)","(7, 6)","(6, 3)","(6, 5)","(5, 6)","(6, 8)","(8, 5)","(5, 7)","(7, 8)","(8, 7)","(0, 7)","(8, 3)","(8, 6)","(6, 0)","(0, 8)","(8, 2)","(8, 0)","(5, 4)","(6, 6)",,,,,,,,,,,,,,,,,,,
15,"(3, 7)","(7, 0)","(0, 3)","(3, 2)","(2, 8)","(8, 1)","(1, 1)","(1, 0)","(0, 1)","(1, 5)","(5, 5)","(5, 1)","(1, 7)","(7, 3)","(3, 5)","(5, 4)","(4, 0)","(0, 6)","(6, 7)","(7, 4)","(4, 8)","(8, 3)","(3, 4)","(4, 7)","(7, 7)","(7, 2)","(2, 5)","(5, 2)","(2, 0)","(0, 2)","(2, 1)","(1, 4)","(4, 2)","(2, 2)","(2, 6)","(6, 4)","(4, 1)","(1, 2)","(2, 3)","(3, 0)","(0, 8)","(8, 6)","(6, 8)","(8, 0)","(0, 5)","(5, 3)","(3, 6)","(6, 2)","(7, 6)","(6, 5)","(5, 7)","(7, 5)","(5, 0)","(0, 0)","(0, 4)","(6, 6)",,,,,,,,,,,,,,,,,,,,,,,,,
16,"(7, 3)","(3, 1)","(1, 1)","(1, 8)","(8, 6)","(6, 0)","(0, 4)","(4, 3)","(3, 6)","(6, 5)","(5, 5)","(5, 4)","(4, 5)","(5, 6)","(6, 3)","(3, 3)","(3, 7)","(7, 5)","(5, 3)","(3, 4)","(4, 2)","(2, 5)","(5, 1)","(1, 2)","(2, 0)","(0, 1)","(1, 7)","(7, 1)","(1, 4)","(4, 4)","(4, 6)","(6, 4)","(4, 8)","(8, 5)","(5, 2)","(2, 3)","(3, 5)","(5, 7)","(7, 0)","(0, 5)","(5, 0)","(0, 3)","(3, 0)","(0, 2)","(2, 8)","(8, 4)","(0, 8)","(8, 7)","(7, 4)","(8, 3)","(3, 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(1, 2)","(2, 8)","(8, 3)","(3, 5)","(5, 7)","(7, 7)","(7, 2)","(2, 0)","(0, 2)","(2, 3)","(3, 3)","(3, 8)","(8, 0)","(0, 6)","(6, 1)","(1, 6)","(6, 5)","(5, 5)","(5, 4)","(4, 2)","(2, 6)","(6, 3)","(3, 6)","(6, 4)","(4, 5)","(5, 3)","(3, 4)","(4, 6)","(6, 6)","(6, 7)","(7, 8)","(8, 7)","(7, 0)","(0, 5)","(5, 1)","(1, 4)","(4, 8)","(8, 1)","(1, 0)","(0, 4)","(4, 1)","(1, 1)","(1, 5)","(0, 1)","(1, 3)","(3, 1)","(1, 8)","(8, 4)","(4, 7)","(7, 5)","(6, 0)","(0, 0)","(0, 3)","(3, 7)","(7, 1)","(0, 7)","(6, 2)","(2, 4)","(4, 4)",,,,,,,,,,,,,,,,,,,,,,
18,"(5, 2)","(2, 6)","(6, 2)","(2, 1)","(1, 7)","(7, 5)","(5, 0)","(0, 3)","(3, 6)","(6, 5)","(5, 4)","(4, 3)","(3, 4)","(4, 5)","(5, 3)","(3, 5)","(5, 1)","(1, 6)","(6, 1)","(1, 0)","(0, 6)","(6, 6)","(6, 0)","(0, 4)","(4, 0)","(0, 0)","(0, 2)","(2, 4)","(4, 6)","(8, 0)","(0, 1)","(1, 5)","(2, 7)","(7, 0)","(0, 7)","(7, 2)","(2, 5)","(8, 6)","(8, 5)","(3, 2)","(2, 3)","(3, 7)","(7, 8)","(8, 3)","(3, 8)","(7, 7)","(7, 4)","(4, 8)","(7, 3)","(3, 3)","(3, 1)","(1, 8)","(4, 7)","(7, 1)","(1, 1)","(1, 2)","(2, 8)","(4, 2)",,,,,,,,,,,,,,,,,,,,,,,
19,"(1, 0)","(0, 5)","(5, 1)","(1, 3)","(3, 6)","(6, 5)","(5, 8)","(8, 2)","(2, 5)","(5, 3)","(3, 5)","(5, 5)","(5, 4)","(4, 4)","(4, 5)","(5, 7)","(7, 4)","(4, 6)","(6, 1)","(1, 8)","(8, 1)","(1, 2)","(2, 0)","(0, 0)","(0, 2)","(2, 8)","(8, 6)","(6, 0)","(0, 1)","(1, 5)","(5, 2)","(2, 7)","(7, 8)","(8, 4)","(4, 1)","(7, 0)","(0, 4)","(4, 0)","(0, 6)","(6, 4)","(4, 3)","(3, 0)","(3, 4)","(4, 8)","(8, 5)","(5, 0)","(2, 6)","(6, 6)","(6, 7)","(7, 3)","(3, 2)","(2, 3)","(7, 6)","(6, 3)","(8, 3)","(2, 1)","(2, 2)","(2, 4)",,,,,,,,,,,,,,,,,,,,,,,
20,"(4, 8)","(8, 0)","(0, 6)","(6, 3)","(3, 4)","(4, 1)","(1, 8)","(8, 2)","(2, 4)","(4, 6)","(6, 2)","(2, 0)","(0, 1)","(1, 0)","(0, 8)","(8, 6)","(6, 6)","(6, 0)","(0, 0)","(0, 4)","(4, 7)","(7, 0)","(0, 3)","(3, 2)","(2, 1)","(1, 1)","(1, 5)","(5, 8)","(8, 7)","(7, 6)","(6, 7)","(7, 3)","(3, 3)","(3, 5)","(5, 0)","(4, 3)","(3, 7)","(5, 4)","(4, 0)","(3, 0)","(8, 4)","(4, 5)","(5, 7)","(1, 4)","(4, 2)","(2, 7)","(1, 6)","(6, 4)","(4, 4)","(3, 1)","(1, 2)","(2, 2)","(2, 6)","(6, 1)","(8, 5)","(5, 1)","(8, 3)",,,,,,,,,,,,,,,,,,,,,,,,
21,"(7, 5)","(5, 7)","(7, 7)","(7, 1)","(1, 0)","(0, 8)","(8, 2)","(2, 6)","(6, 3)","(3, 4)","(4, 1)","(1, 7)","(7, 0)","(0, 0)","(0, 7)","(7, 4)","(4, 6)","(6, 2)","(2, 3)","(3, 8)","(8, 7)","(7, 3)","(3, 7)","(7, 2)","(2, 2)","(2, 8)","(8, 5)","(5, 8)","(8, 0)","(0, 4)","(4, 4)","(4, 2)","(2, 4)","(4, 7)","(7, 6)","(6, 0)","(8, 1)","(1, 4)","(4, 8)","(1, 8)","(3, 6)","(6, 4)","(4, 3)","(3, 5)","(5, 1)","(1, 1)","(5, 5)","(5, 6)","(6, 8)","(2, 0)","(4, 0)","(3, 2)","(2, 5)","(6, 5)","(6, 1)","(6, 7)","(7, 8)","(6, 6)",,,,,,,,,,,,,,,,,,,,,,,
22,"(0, 0)","(0, 4)","(4, 3)","(3, 0)","(0, 5)","(5, 7)","(7, 6)","(6, 8)","(8, 8)","(8, 2)","(2, 0)","(0, 7)","(7, 2)","(2, 2)","(2, 4)","(4, 5)","(5, 0)","(0, 3)","(3, 2)","(2, 3)","(3, 4)","(4, 8)","(8, 4)","(4, 6)","(6, 3)","(3, 7)","(7, 0)","(0, 6)","(6, 0)","(0, 1)","(1, 2)","(2, 6)","(6, 1)","(1, 0)","(4, 7)","(7, 1)","(1, 7)","(7, 3)","(3, 6)","(6, 4)","(4, 0)","(5, 3)","(1, 1)","(1, 4)","(4, 1)","(1, 3)","(2, 5)","(5, 4)","(4, 2)","(2, 7)","(7, 7)","(7, 5)","(5, 8)","(8, 1)","(1, 8)","(8, 6)","(6, 7)","(7, 8)","(8, 3)","(8, 0)","(5, 5)","(5, 6)","(6, 6)","(2, 8)","(1, 6)","(7, 4)","(5, 2)",,,,,,,,,,,,,,
23,"(3, 6)","(6, 6)","(6, 4)","(4, 0)","(0, 4)","(4, 6)","(6, 0)","(0, 1)","(1, 3)","(3, 7)","(7, 1)","(1, 7)","(7, 5)","(5, 2)","(2, 8)","(8, 6)","(6, 5)","(5, 6)","(6, 2)","(2, 0)","(0, 3)","(3, 4)","(4, 2)","(2, 7)","(7, 8)","(8, 0)","(0, 5)","(5, 4)","(4, 1)","(1, 0)","(3, 1)","(1, 1)","(1, 4)","(4, 3)","(3, 0)","(8, 1)","(1, 5)","(7, 7)","(7, 6)","(6, 8)","(8, 2)","(2, 1)","(7, 0)","(2, 2)","(7, 3)","(3, 2)","(8, 7)","(3, 8)","(8, 3)","(3, 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(4, 4)","(4, 8)","(8, 5)","(5, 6)","(6, 0)","(0, 6)","(6, 5)","(5, 2)","(2, 6)","(6, 2)","(2, 8)","(8, 1)","(1, 5)","(5, 7)","(7, 7)","(7, 1)","(1, 7)","(7, 6)","(6, 4)","(4, 5)","(5, 8)","(8, 7)","(7, 0)","(0, 3)","(3, 5)","(5, 1)","(1, 6)","(6, 6)","(6, 7)","(7, 4)","(4, 3)","(3, 2)","(2, 0)","(0, 2)","(2, 7)","(7, 8)","(8, 4)","(4, 2)","(6, 1)","(1, 0)","(0, 1)","(1, 2)","(5, 3)","(3, 1)","(1, 3)","(3, 6)","(8, 2)","(3, 0)","(0, 7)","(7, 2)","(5, 5)","(5, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"(1, 7)","(7, 3)","(3, 0)","(0, 3)","(3, 7)","(7, 1)","(1, 8)","(8, 7)","(7, 5)","(5, 3)","(3, 4)","(4, 6)","(6, 0)","(0, 5)","(5, 4)","(4, 2)","(2, 8)","(8, 1)","(1, 2)","(2, 2)","(2, 4)","(4, 1)","(1, 4)","(4, 0)","(0, 1)","(1, 3)","(3, 3)","(3, 6)","(6, 5)","(5, 6)","(6, 7)","(7, 7)","(7, 4)","(6, 8)","(8, 4)","(1, 1)","(1, 6)","(6, 1)","(3, 1)","(7, 8)","(8, 5)","(5, 7)","(7, 6)","(6, 6)","(6, 3)","(5, 5)","(5, 0)","(0, 6)","(6, 2)","(2, 7)","(7, 2)","(2, 3)","(8, 6)","(6, 4)","(8, 0)","(0, 7)","(2, 1)","(8, 3)","(5, 1)","(8, 2)","(2, 5)","(5, 8)","(8, 8)","(0, 0)","(2, 6)","(2, 0)",,,,,,,,,,,,,,,
26,"(7, 0)","(0, 0)","(0, 6)","(6, 4)","(4, 7)","(7, 1)","(1, 1)","(1, 3)","(3, 6)","(6, 6)","(6, 3)","(3, 0)","(0, 1)","(1, 2)","(2, 3)","(3, 3)","(3, 2)","(2, 8)","(8, 6)","(6, 1)","(1, 7)","(7, 6)","(6, 5)","(5, 6)","(6, 2)","(2, 4)","(4, 3)","(3, 1)","(1, 4)","(4, 8)","(8, 0)","(0, 7)","(7, 8)","(8, 5)","(5, 0)","(0, 3)","(3, 8)","(8, 1)","(3, 4)","(4, 0)","(0, 2)","(2, 0)","(0, 4)","(4, 4)","(5, 4)","(7, 7)","(7, 5)","(5, 7)","(7, 4)","(6, 7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"(5, 1)","(1, 7)","(7, 3)","(3, 2)","(2, 6)","(6, 3)","(3, 8)","(8, 3)","(3, 3)","(3, 4)","(4, 3)","(3, 6)","(6, 1)","(1, 2)","(2, 7)","(7, 7)","(7, 6)","(6, 7)","(7, 1)","(1, 8)","(8, 2)","(2, 3)","(1, 4)","(4, 8)","(8, 1)","(1, 5)","(5, 7)","(7, 8)","(8, 7)","(7, 4)","(4, 4)","(4, 5)","(5, 6)","(6, 6)","(6, 5)","(5, 4)","(4, 1)","(2, 5)","(5, 8)","(8, 8)","(8, 5)","(7, 0)","(0, 7)","(0, 6)","(6, 0)","(0, 8)","(8, 0)","(0, 2)","(2, 1)","(4, 6)","(6, 2)","(2, 2)","(2, 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"(8, 4)","(4, 7)","(7, 1)","(1, 5)","(5, 3)","(3, 3)","(3, 6)","(6, 1)","(1, 4)","(4, 4)","(4, 5)","(5, 6)","(6, 5)","(5, 4)","(4, 2)","(2, 3)","(3, 7)","(7, 7)","(7, 2)","(2, 4)","(4, 8)","(8, 6)","(6, 7)","(7, 8)","(8, 7)","(7, 0)","(0, 1)","(1, 1)","(1, 2)","(2, 1)","(1, 0)","(0, 7)","(7, 3)","(3, 2)","(2, 0)","(0, 6)","(6, 2)","(2, 2)","(2, 5)","(5, 8)","(8, 2)","(2, 7)","(7, 4)","(5, 7)","(7, 5)","(1, 7)","(0, 8)","(8, 8)","(8, 5)","(8, 1)","(1, 3)","(3, 4)","(3, 5)","(1, 8)","(8, 0)","(0, 5)","(6, 8)","(8, 3)","(3, 8)","(0, 2)","(0, 3)","(0, 4)","(1, 6)",,,,,,,,,,,,,,,,,,
29,"(1, 0)","(0, 6)","(6, 5)","(5, 5)","(5, 7)","(7, 0)","(0, 0)","(0, 8)","(8, 8)","(8, 0)","(0, 5)","(5, 1)","(1, 3)","(3, 6)","(6, 7)","(7, 8)","(8, 1)","(1, 8)","(8, 5)","(5, 2)","(2, 4)","(4, 3)","(3, 1)","(1, 1)","(1, 7)","(7, 3)","(3, 4)","(4, 1)","(1, 2)","(2, 7)","(7, 1)","(1, 5)","(5, 4)","(4, 6)","(6, 1)","(1, 4)","(4, 8)","(8, 3)","(3, 2)","(2, 8)","(8, 4)","(4, 2)","(2, 0)","(0, 3)","(3, 3)","(3, 0)","(0, 4)","(4, 7)","(7, 6)","(6, 3)","(3, 7)","(7, 7)","(7, 4)","(4, 0)","(0, 1)","(1, 6)","(6, 0)","(0, 7)","(7, 2)","(2, 6)","(6, 2)","(5, 0)","(8, 6)","(8, 2)","(8, 7)",,,,,,,,,,,,,,,,
30,"(8, 1)","(1, 4)","(4, 2)","(2, 8)","(8, 2)","(2, 7)","(7, 7)","(7, 8)","(8, 5)","(5, 7)","(7, 0)","(0, 3)","(3, 1)","(1, 5)","(5, 0)","(0, 2)","(2, 6)","(6, 3)","(3, 3)","(3, 4)","(4, 3)","(3, 0)","(0, 7)","(7, 2)","(2, 2)","(2, 1)","(1, 3)","(3, 6)","(6, 7)","(7, 4)","(4, 4)","(4, 0)","(0, 6)","(6, 2)","(2, 3)","(3, 2)","(2, 0)","(0, 5)","(5, 5)","(5, 2)","(7, 6)","(6, 4)","(4, 6)","(6, 6)","(7, 3)","(8, 3)","(5, 3)","(0, 0)","(0, 4)","(5, 4)","(5, 1)","(1, 6)","(1, 0)","(0, 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,
